rank,id,doctor_id,practice_id,image_url,profile_url,doctor_name,specialization,qualification,college,completion_year,qualification.1,college.1,completion_year.1,experience_years,practice_city,practice_locality,practice_type,practice_name,consultation_fees,summary,recommendation_percent,patients_count,reviews_count,timestamp,position,Unnamed: 26,gender
1,533328,419319,1154495,https://imagesx.practo.com/providers/dr-r-suneel-hand-surgeon-hyderabad-c1658012-47c1-4da2-ad6a-d3534897c94a.jpg,/hyderabad/doctor/r-suneel-orthopedist-1?practice_id=1154495&specialization=Orthopedist&referrer=doctor_listing&page_uid=9a8100c8-16de-46a1-93ae-c8ca837c9477,Dr. R. Suneel,Orthopedist,MBBS,Dr. NTR University of Health Sciences Andhra Pradesh,2007,MS - Orthopaedics,Dr. NTR University of Health Sciences Andhra Pradesh,2011,17,Hyderabad,Hitech City,Hospital,Medicover Hospitals,600,"Dr. R. Suneel Is A Practicing  Hand Surgeon In Hyderabad With Special Interest In Hand Surgery, Wrist Surgery, Peripheral Nerve, And Brachial Plexus Surgery. After Pursuing M.S.Orthopedics, He Completed Post Doctoral Fellowship In Hand And Reconstructive Microsurgery At  Paul Brand Center  For Hand And Leprosy Reconstructive Surgery Inclusive Of Peripheral Nerve Surgery  At The Prestigious Christian Medical College, Vellore. ",81.0,21,14,"8/7/2024, 6:46:09 PM",2,,male
2,781265,200499,1154495,https://imagesx.practo.com/providers/dr-ravi-kumar-p-orthopedic-surgeon-hyderabad-a3594c65-ca32-48c0-a5c1-70f9af3c5752.jpg,/hyderabad/doctor/dr-ravi-kumar-2-200499-orthopedist?practice_id=1154495&specialization=Orthopedist&referrer=doctor_listing&page_uid=9a8100c8-16de-46a1-93ae-c8ca837c9477,Dr. Ravi Kumar P,Orthopedist,MBBS,Dr. NTR University of Health Sciences Andhra Pradesh,2001,Diploma in Orthopaedics,"Rajiv Gandhi University of Health Sciences, Bangalore, India",2005,23,Hyderabad,Hitech City,Hospital,Medicover Hospitals,500,"Dr Ravi Kumar P is a senior consultant Orthopaedic and Arthroplasty(Joint Replacement) surgeon at Medicover Hospital,Madhapur,Hyderabad.He has undergone orthopaedic training at MS Ramaiah Medical College,Bangalore.He has 12 years of experience in orthopaedics .He worked  at KIMS Hospital,Wockhardt-Kamineni Hospital for four years and gained vast experience in the field of Joint Replacement ,Arthroscopy and Trauma.Last 8 Years he has been an independent consultant at various hospitals  giving his best services .       Dr.Ravi Kumar has a passion for JOINT REPLACEMENT IN BOTH PRIMARY AND REVISIONS SURGERIES OF HIP AND KNEE. He is a member of various societies and keeps himself updated with the latest in arthroplasty.He believes that Arthroplasty is the shortest and quickest route from disability to mobility.He is also well experienced in COMPUTER NAVIGATION, UNICONDYLAR KNEE REPLACEMENT, SHOULDER REPLACEMENT, ARTHROSCOPY and CARTILAGE REPAIR.      Currently he practices at Medicover Hospitals which is a dedicated world class orthopaedic hospital located at centre of Hyderabad.At Medicover Hospitals  all subspecialties of orthopaedics are available under one roof and augmented with latest equipment.",82.0,11,6,"8/7/2024, 6:46:09 PM",3,,male
3,619510,173585,1154495,https://imagesx.practo.com/providers/dr-krishna-kiran-eachempati-orthopedic-surgeon-hyderabad-fb73fe1a-e3c9-4628-9f7d-fc06ff06c263.jpg,/hyderabad/doctor/dr-krishna-kiran-orthopedist-1?practice_id=1154495&specialization=Orthopedist&referrer=doctor_listing&page_uid=9a8100c8-16de-46a1-93ae-c8ca837c9477,Dr. Krishna Kiran Eachempati,Orthopedist,MBBS,"Rajiv Gandhi University of Health Sciences, Bangalore, India",1998,MS - Orthopaedics,"All India Institute of Medical Sciences, New Delhi",2001,23,Hyderabad,Hitech City,Hospital,Medicover Hospitals,500,,68.0,22,14,"8/7/2024, 6:46:09 PM",5,,male
4,893571,380073,1448891,https://imagesx.practo.com/providers/dr-prabhat-lakkireddi-orthopedic-surgeon-hyderabad-249d8b8b-20b1-407c-a001-0fb93686155d.jpg,/hyderabad/doctor/dr-prabhat-lakkireddi-orthopedist-1?practice_id=1448891&specialization=Orthopedist&referrer=doctor_listing&page_uid=9a8100c8-16de-46a1-93ae-c8ca837c9477,Dr. Prabhat Lakkireddi,Orthopedist,FRCS - Trauma & Orthopedic Surgery,"Royal College of Surgeons of Edinburgh (RCSE), U.K",2012,MS - Orthopaedics,Kasturba Medical  College,2002,28,Hyderabad,Gachibowli,Hospital,Arete Hospitals,1000,"Dr. Prabhat Lakkireddi is a joint replacement surgeon, sports medicine surgeon and orthopedic surgeon in Hyderabad and has an experience of 26 years in these fields. He completed FRCS (trauma & ortho) from Royal College of Surgeons of Edinburgh (RCSE), U.K in 2010, MS - Orthopaedics from Kasturba Medical College - Mangalore in 1998 and membership of the Royal College of Surgeons (MRCS) from the Royal College of Surgeons (RCS), Uk in 2006.  He is a member of Indian Arthroscopy Society, Indian Orthopaedic Association, twin cities orthopedic society and international biologics orthopedic society. Some of the services provided by the doctor are knee pain, shoulder pain, hip pain, ligament reconstruction and primary hip and knee arthroplasty etc. Introducing for the first time in India : revolutionary stem cells therapy (regrow cartilage and regrow bone) for knee, hip and shoulder problems. Due To Time Constraint- Doctor Is Not Seeing Spine Cases.",98.0,1682,586,"8/7/2024, 6:46:09 PM",6,,male
5,420512,480338,983268,https://imagesx.practo.com/providers/dr-mir-jawad-zar-khan-orthopedic-surgeon-hyderabad-a680ee89-a5af-4af4-ac61-a89080a7cbc7.jpg,/hyderabad/doctor/dr-mir-jawad-zar-khan-orthopedist-1?practice_id=983268&specialization=Orthopedist&referrer=doctor_listing&page_uid=9a8100c8-16de-46a1-93ae-c8ca837c9477,Dr. Mir Jawad Zar Khan,Orthopedist,MBBS,"Deccan College of Medical Sciences, Hyderabad",2001,MS - Orthopaedics,Dr. NTR University of Health Sciences Andhra Pradesh,2015,23,Hyderabad,Attapur,Hospital,Germanten Hospitals,750,"Dr. Mir Jawad Zar Khan is a senior orthopedist, orthopedic surgeon and joint replacement and spine surgeon in Attapur, Hyderabad and has an experience of 21 years in these fields. Dr. Mir Jawad Zar Khan practices at Germanten Hospital, which is a hospital for advanced orthopedics & trauma in Attapur, Hyderabad. He has done Masters that is M.S (Orthopaedics) from Osmania University, Hyderabad and M.Ch Orthopedics from Usaim, Seychelles. He has done a fellowship in arthroplasty in world renowned orthopedic institute in Munich Germany where he has worked with international experts in joint replacements surgeries. He was awarded best outgoing postgraduate with highest marks in Andhra Pradesh state. He has undergone extensive training in trauma & orthopedics during his post graduation. He has further training in complicated fractures, joint replacements, spine surgery & arthroscopic ACL/PCL reconstruction, meniscal repair surgeries at prestigious Osmania General Government Hospital which is a tertiary care referral center in Andhra Pradesh & Telangana State during his senior residency. He has undergone advanced training in joint replacements as part of his fellowship program at prestigious Institutes of Lilavati, Beach Candy Hospital Mumbai & Max Hospital Delhi with International experts in the above fields. He has worked & undergone extensive training in joint replacements of knee, hip, shoulder, arthroscopic surgeries, spine surgeries during his fellowship program in Munich Germany with world-renowned experts. Dr.Jawad is an expert in computer navigation joint replacement surgery and has performed large series of navigated hip and knee replacement surgeries in Germany.  Doctor can be contacted round the clock for any advice on orthopedic problems & fractures. He is a active member of Indian Orthopedic Association, Orthopedic Surgeons Society Of A.P, Indian Medical Association (IMA), (IGOF) Indo-German Orthopedic Foundation, Society,  Internationale De Chirurgie Orthopedic Et De Traumatologie (Sicot), International Society Of Orthopedic Surgery & Traumatology, International Cartilage Research Society, Indian Arthroplasty Association, International Society For Knowledge For Surgeons On Arthroscopy And Arthroplasty And International Society Of Arthroscopy, Knee Surgery And Orthopedic Sports Medicine. Dr. Jawad had a brilliant academic career all through his studies. He has presented research papers & articles & participated in numerous conferences in India & Internationally. Dr. Jawad is highly interested in research-oriented activities & keeps updating his knowledge by attending various orthopedic conferences & workshops which have added to his skill & expertise. The doctor has extensive years of experience in accurately diagnosing Orthopedic conditions with fewer investigations & offering cost effective treatment. Dr.Jawad is not only a competent surgeon but also an excellent clinician with a soft spoken & humane approach towards his patients. A doctor has treated numerous patients with complicated trauma.He has treated many elderly patients with fractures taking care of all their medical needs.  Dr. Jawads Motto in doing joint replacement is to make it a successful surgery with the fastest recovery & early mobility with taking into account all aspects of patients physical & mental health. He discusses in detail with each patient all aspects of the surgery, implants used, costs & prognosis, etc. A doctor has treated many sportsmen of state & National ranking who visit him frequently for sports injuries. Germanten hospital is a setup by Dr. Jawad to provide orthopedic & trauma care with all latest equipment's & highly advanced laminar airflow operation theaters for total infection control.  Dr. Jawad's team comprises of dedicated doctors, operation theater staff, physiotherapists & support staff who work in tandem & whose respective services complement each other for the total recovery & satisfaction of the patients. Doctor can be contacted round the clock for any advice on orthopedic problems & fractures. 24hrs ambulance service is provided free of cost. The hospital has a cashless facility for all insurance health cards & state govt employees. The aarogyasree facility is available.",97.0,897,283,"8/7/2024, 6:46:09 PM",7,,male
6,933677,598489,1139564,https://imagesx.practo.com/providers/dr-naveen-reddy-p-orthopedic-surgeon-hyderabad-f6a754b3-9c2f-4e5e-8f00-7dbb4a2418fc.jpg,/hyderabad/doctor/dr-naveen-reddy-p-orthopedist-orthopedist?practice_id=1139564&specialization=Orthopedist&referrer=doctor_listing&page_uid=9a8100c8-16de-46a1-93ae-c8ca837c9477,Dr. Naveen Reddy P,Orthopedist,MBBS,"University Of Mysore, India",1995,Diploma in Orthopaedics,Rajah muthiah medical college,2002,29,Hyderabad,Lakdikapul,Hospital,Gleneagles Hospital,800,,75.0,4,4,"8/7/2024, 6:46:09 PM",8,,male
7,824119,535360,983268,https://imagesx.practo.com/providers/dr-shyam-sunder-rendedla-orthopedic-surgeon-hyderabad-076aced1-665b-45ae-93dd-871ba7fbdec8.jpg,/hyderabad/doctor/shyam-sunder-rendedla-orthopedist?practice_id=983268&specialization=Orthopedist&referrer=doctor_listing&page_uid=9a8100c8-16de-46a1-93ae-c8ca837c9477,Dr. Shyam Sunder Rendedla,Orthopedist,MBBS,Sri Siddhartha Medical College & Research,2007,DNB - Orthopedics/Orthopedic Surgery,Natboard New Delhi,2012,17,Hyderabad,Attapur,Hospital,Germanten Hospitals,600,,97.0,33,26,"8/7/2024, 6:46:09 PM",9,,male
8,663407,580237,671126,https://imagesx.practo.com/providers/dr-m-ashwin-kumar-orthopedic-surgeon-hyderabad-68fae6fa-4620-4870-8233-746e51535f95.jpg,/hyderabad/doctor/m-ashwin-kumar?practice_id=671126&specialization=Orthopedist&referrer=doctor_listing&page_uid=9a8100c8-16de-46a1-93ae-c8ca837c9477,Dr. M Ashwin Kumar,Orthopedist,MBBS,Dr. NTR University of Health Sciences Andhra Pradesh,1999,MS - Orthopaedics,Dr. NTR University of Health Sciences Andhra Pradesh,2004,25,Hyderabad,LB Nagar,Hospital,Gleneagles Aware Hospital,650,"Dr. M Ashwin Kumar is an Orthopedic specialist with a vast experience in the field of orthopedics for 17 years. He practices at Medisys Hospitals, LB Nagar, Hyderabad, and is one of the senior most orthopedic specialists among many others of the same fraternity. Dr. M Ashwin Kumar has graduated from Dr. NTR University of Health Sciences, Andhra Pradesh in 2001 and has acquired a Masters Degree in Orthopaedics from the same university in 2004. He is also a member of Indian Orthopaedic Association.  •	Heat Therapy •	Knee Arthroplasty •	Spine Mobilization •	Arthritis and Pain Management •	Orthopedic physical therapy",90.0,10,5,"8/7/2024, 6:46:09 PM",11,,male
9,885943,598653,1360867,https://imagesx.practo.com/providers/dr-mallikarjun-rao-orthopedic-surgeon-hyderabad-45808c85-f4cc-49bd-919c-57151063e89f.jpg,/hyderabad/doctor/dr-mallikarjun-rao-1-orthopedist?practice_id=1360867&specialization=Orthopedist&referrer=doctor_listing&page_uid=9a8100c8-16de-46a1-93ae-c8ca837c9477,Dr. Mallikarjun Rao,Orthopedist,MBBS,Bangalore University,1989,MS - Orthopaedics,GULBARGA UNIVERSITY,1994,30,Hyderabad,Chanda Nagar,Hospital,Medicover Hospitals,400,,83.0,6,3,"8/7/2024, 6:46:09 PM",12,,male
10,901654,271479,1267476,https://imagesx.practo.com/providers/dr-mirza-atif-baig-orthopedic-surgeon-hyderabad-2d05b0cd-9259-4793-aa56-0e18cefa24d3.jpg,/hyderabad/doctor/dr-mirza-atif-baig-orthopedist?practice_id=1267476&specialization=Orthopedist&referrer=doctor_listing&page_uid=9a8100c8-16de-46a1-93ae-c8ca837c9477,Dr. Mirza Atif Baig,Orthopedist,MBBS,"Mahadevappa Rampure Medical College, Gulbarga",2002,Diploma in Orthopaedics,"Mahadevappa Rampure Medical College, Gulbarga",2007,22,Hyderabad,Langar Houz,Clinic,"Renova Hospital, Langar House",500,,100.0,15,3,"8/7/2024, 6:46:09 PM",13,,male
