rank,id,doctor_id,practice_id,image_url,profile_url,doctor_name,specialization,qualification,college,completion_year,qualification.1,college.1,completion_year.1,experience_years,practice_city,practice_locality,practice_type,practice_name,consultation_fees,summary,recommendation_percent,patients_count,reviews_count,timestamp,position,Unnamed: 26,gender
1,564232,581253,1136007,https://imagesx.practo.com/providers/dr-k-s-walia-general-physician-delhi-d9e21ea7-d2d4-4c18-b302-03935014fbdc.jpg,/delhi/doctor/dr-k-s-walia-general-physician?practice_id=1136007&specialization=General Physician&referrer=doctor_listing&page_uid=8a499ec2-2acb-47ba-9493-154f572d3f55,Dr. K.S. Walia,General Physician,MBBS,Guru Nanak Dev University,1974,,,,50,Delhi,Sarita Vihar,Clinic,Walia Medical and Maternity Centre,600,"Dr K.S Walia has an experience of over 46 years and has done his M.B.B.S from Government Medical College, Amritsar. He is an experienced physician who strives to keep himself updated with the changing trends of the medical field. After spending 10 years in Nigeria at Pope Paul Specialist Hospital as Chief Medical Officer, Dr Walia returned to India and Worked at Faridabad as well as Kosi Kalan, Distt Mathura before establishing his own setup in 1993 at Walia Medical & Maternity Centre,Sarita VIhar, New Delhi. Believes in doing his job with compassion & High Standards of Patient Care. He is one of the most Prominent General Physician in Sarita Vihar, New Delhi.",90.0,216,170,"8/7/2024, 11:43:34 PM",2,,male
2,705235,793924,1276288,https://imagesx.practo.com/providers/dr-saumya-rathi-general-physician-delhi-1239346e-f6e7-4aef-8a78-73ed81b32113.jpg,/delhi/doctor/saumya-rathi-general-physician?practice_id=1276288&specialization=General Physician&referrer=doctor_listing&page_uid=8a499ec2-2acb-47ba-9493-154f572d3f55,Dr. Saumya Rathi,General Physician,MBBS,Hemwati Nandan Bahuguna Garhwal University,2012,,,,12,Delhi,Shakti Nagar,Clinic,Dr. Saumya Rathi Clinic,800,"Dr. Saumya Rathi says have evolved as a doctor with various milestones en route. Work exposure gained from government institutions like Safdarjung hospital and Rajan Babu TB hospital has built her foundation. Working in Sir Gangaram hospital and St. Stephen's hospital has given her confidence and trust in treating patients.""",100.0,239,187,"8/7/2024, 11:43:34 PM",3,,female
3,882642,866164,1440193,https://imagesx.practo.com/providers/dr-tanjot-kaur-general-physician-delhi-1383f9a0-ef8d-4288-a3ef-8c6c4cd8ad33.jpg,/delhi/doctor/tanjot-kaur-general-physician?practice_id=1440193&specialization=General Physician&referrer=doctor_listing&page_uid=8a499ec2-2acb-47ba-9493-154f572d3f55,Dr. Tanjot Kaur,General Physician,MBBS,Baba Farid University of Health sciences,2007,DNB - Family Medicine,"National Board of Examination, India",2012.0,17,Delhi,Dwarka Sector 10,Clinic,Hope Wellness Clinic,600,"Dr. Tanjot Kaur is a Consultant Physician at Doctors Hub and Health Services, Dwarka Sec 12, New Delhi and is extremely skilled at healing infectious diseases and lifestyle diseases like Diabetes, Hypertension. treating infectious diseases. She graduated from Govt Medical College, Amritsar and then pursued Post Graduation (DNB) from Sir Ganga Ram Hospital. She completed a certificate course in Diabetes from BMJ, Royal College of Physicians (London). She also worked in the Department of Cardiology at Janakpuri Super Specialty Hospital.",100.0,30,12,"8/7/2024, 11:43:34 PM",5,,female
4,605954,625268,1162854,https://imagesx.practo.com/providers/dr-yatin-kukreja-general-physician-delhi-b56d6a5a-73d2-4384-b955-8d84b25bb6fb.jpg,/delhi/doctor/dr-yatin-kukreja-emergency-critical-care?practice_id=1162854&specialization=General Physician&referrer=doctor_listing&page_uid=8a499ec2-2acb-47ba-9493-154f572d3f55,Dr. Yatin Kukreja,General Physician,MD - Physician,"University of Medicine Pleven, Bulgaria",2003,,,,21,Delhi,Lajpat Nagar 4,Clinic,Kukreja Healthcare Clinic,700,"Dr. Yatin Kukreja is a General Physician and with expertise in handling critical emergencies. He holds a vast experience of more than 14 yrs in this field. He is associated with Artemis Hospital,  as Senior Consultant, for the last 7 years. Dr. Kukreja has been awarded the certification from the Public Health Foundation of India, for the Evidence-Based Diabetes Management. Believes that Managing diabetes is teamwork and not just a prescription. He is also a certified instructor of the American Heart Association, teaching Basic Life Support and Advanced Cardiac Life Support in various prestigious institutes.",98.0,328,166,"8/7/2024, 11:43:34 PM",6,,male
5,776406,893422,1344502,https://imagesx.practo.com/providers/dr-rashmi-wadhwa-general-physician-delhi-1d657386-35f3-4802-a7af-03fd1fddfd6d.jpg,/delhi/doctor/dr-rashmi-wadhwa-general-physician?practice_id=1344502&specialization=General Physician&referrer=doctor_listing&page_uid=8a499ec2-2acb-47ba-9493-154f572d3f55,Dr. Rashmi Wadhwa,General Physician,MBBS,"Madhya Pradesh Medical Science University, Jabalpur",1988,,,,36,Delhi,Sarvodaya Enclave,Clinic,Dr. Rashmi Wadhwa Clinic,800,Dr. Rashmi Wadhwa had done MBBS of 1987 batch . Have work experience of over 35 years as medical professional . Worked in Kasturba Gandhi Hospital and recently    Retired from  BSES Rajdhani as Sr Medical Officer in 2020. Treated thousands of employee patients during my  above tenure. Now practicing as  general physician since 3 years in Sarvodaya Enclave New Delhi and,100.0,29,21,"8/7/2024, 11:43:34 PM",7,,female
6,849719,560700,1136406,https://imagesx.practo.com/providers/dr-pankaj-kumar-general-physician-delhi-0707a48d-8f19-4c0c-9f25-e1d2908cc9ae.jpg,/delhi/doctor/drpankaj-kumar-general-physician-11?practice_id=1136406&specialization=General Physician&referrer=doctor_listing&page_uid=8a499ec2-2acb-47ba-9493-154f572d3f55,Dr. Pankaj Kumar,General Physician,MBBS,Bankura Sammilani Medical College & Hospital,2007,DNB - Family Medicine,"National Board of Examination, India",2015.0,17,Delhi,Dwarka Sector 9,Clinic,Diet Plus Minus,700,"Dr. Pankaj Kumar, a medical doctor by training and diet & fitness enthusiast and consultant by passion is the brain behind Mawkish Clinic and Diet Plus Minus. His idea of weight and fitness management is not only backed by authentic work done in this field but also combines radical and path-breaking innovations in proper dietary management. Over the years he has gained great popularity among his clients who hail from different strata of society. The cured patients are a living testimony of an effective and unique style of diet management without much compromise on the taste and amount of food involved. The personal guidance, mentoring, and counseling provided by him not only motivate the clients to cure obesity, diabetes, fatty liver, PCOD, hormonal imbalance at such ease and speed but also goes a long way in easily adopting a healthy lifestyle in long run. He is a strong believer and propagator of the idea that healthy living is a right of each individual which should be an attitude in each one of us rather than imposed by any external stimulus. The mawkish clinic was started in the year 2016 as a venture by Dr. Pankaj Kumar. His diverse exposure gained while pursuing MBBS in Bankura Sammilani Medical College and Hospital and Post-Graduation from Sir Ganga Ram Hospital, New Delhi has helped him in coming into contact with some of the greatest medical minds in the country. He has efficiently amalgamated the experience gained by him with new works in the field of medical sciences and applied them successfully in his practice. The mawkish clinic, over the years, has made a special place among thousands of patients who have been cured by his efficient hands. Meanwhile sensing a strong need for specialized care and attention for diseases cropping out of lifestyle disorders, Dr. Pankaj thought of starting Diet Plus Minus (dietplusminus.com) with a strong focus on patients suffering from complications like diabetes, fatty liver, obesity, PCOD, post-pregnancy weight gain, infertility due to obesity, premature ejaculation, erectile dysfunction, etc. Diet Plus Minus is a unique blend of medical knowledge and time-tested wisdom in treating lifestyle disorders. Patients are provided with personalized and customized counseling which helps them in living a balanced life with increased confidence and self-esteem. He provides customized as well as generalized diet plans which help in multiple medical conditions. He does not use any medicine or supplements or any fancy crash diet to lose weight. In addition to this, he provides an idea of a maintenance diet after the completion of 3 months or the end of the course. We all know that every individual is different and their body responds differently to diet and exercise and this very fact forms the basis of each individual case that he takes. For him, each case is a project in itself and hence he puts adequate enthusiasm and attention to individual details in framing diet plan and regimen. Weight loss and/or customized diet plan plays a pivotal role in long term management of the following diseases  1.	Arthritis 2.	Chronic gastric disorder 3.	Diabetes 4.	Fatty liver 5.	High triglycerides, cholesterol 6.	Hypertension 7.	Infertility (associated with obesity) 8.	Irritable bowel syndrome (IBS) 9.	Obesity 10.	Polycystic ovarian disease 11.	Post-pregnancy weight gain 12.	Sexual disorders like erectile dysfunction, premature ejaculation 13.	Snoring 14. Thyroid disorder and many more…",96.0,282,156,"8/7/2024, 11:43:34 PM",8,,male
7,711735,811333,1282082,https://imagesx.practo.com/providers/dr-usha-gupta-general-practitioner-delhi-d63d9804-3d37-45bd-b714-3af7e1723a71.jpg,/delhi/doctor/dr-usha-gupta-1-general-practitioner?practice_id=1282082&specialization=General Physician&referrer=doctor_listing&page_uid=8a499ec2-2acb-47ba-9493-154f572d3f55,Dr. Usha Gupta,General Physician,MBBS,"Lady Hardinge Medical College, New Delhi",1981,,,,41,Delhi,Jhilmil Colony,Clinic,Dr. Gupta Family Clinic,600,"@ I am a General Practitioner & Gynecologist/Obstetrician with 38 years of experience @ Services: General Physician, Gynecologist, Women Health, Child Patients, Family Planning & Conduct Deliveries (Pregnancy)  @ I am also associated with Pushpanjali Medical Center for my indoor patients @ I have been practicing in Jhilmil & Vivek Vihar, Delhi area since 1983. I have done my MBBS from Lady Hardinge Medical College, Delhi (One of the most renowned medical colleges in India) @ I have also done PGCC in Family Planning @ I have conducted many camps for General, Gynae, Women & Child patients @ I am an active member of the following Medical Organizations in India: DMA, IMA, AOGD, FOGSI & ICOG",96.0,48,39,"8/7/2024, 11:43:34 PM",9,,female
8,888921,1097994,1420897,https://imagesx.practo.com/providers/dr-pratima-verma-general-physician-delhi-727457ae-0da9-4dc8-8be1-7cadb2c00ab7.jpg,/delhi/doctor/dr-pratima-verma-family-physician?practice_id=1420897&specialization=General Physician&referrer=doctor_listing&page_uid=8a499ec2-2acb-47ba-9493-154f572d3f55,Dr. Pratima Verma,General Physician,MBBS,JIWAJI University Gwalior,1991,,,,32,Delhi,East Of Kailash,Clinic,Apollo Clinic,1200,"Dr. Pratima Verma is a Doctor in East Of Kailash, Delhi and has an experience of 32 years in this field. Dr. Pratima Verma practices at Apollo Clinic in East Of Kailash, Delhi. She completed MBBS from JIWAJI University Gwalior in 1991,PGDIM Health and Family Welfare Management from National Institute of Health And Family Welfare, Delhi in 2017 and MBA - Healthcare Administration from University of Delhi in 2018",100.0,17,17,"8/7/2024, 11:43:34 PM",11,,female
9,886722,1095202,1443111,https://imagesx.practo.com/providers/dr-swati-aggarwal-general-physician-delhi-65c966fc-1516-4875-a812-1558d0b9d5da.jpg,/delhi/doctor/swati-aggarwal-general-physician?practice_id=1443111&specialization=General Physician&referrer=doctor_listing&page_uid=8a499ec2-2acb-47ba-9493-154f572d3f55,Dr. Swati Aggarwal,General Physician,MBBS,"Krishna Institute of Medical Sciences, Karad",2011,,,,12,Delhi,Dwarka Sector 12,Clinic,Dr. Swati General Physician VaccinationCentre,500,"Dr. Swati Aggarwal is a General Physician and General Practitioner in Dwarka Sector 12, Delhi and has an experience of 12 years in these fields. Dr. Swati Aggarwal practices at Dr. Swati General Physician VaccinationCentre in Dwarka Sector 12, Delhi. She completed MBBS from Krishna Institute of Medical Sciences, Karad in 2011.",91.0,22,21,"8/7/2024, 11:43:34 PM",12,,female
10,349511,239664,1132658,https://imagesx.practo.com/providers/dr-navneet-kaur-general-physician-delhi-6ff7233f-b09f-4a29-8b60-78e70da86b76.jpg,/delhi/doctor/dr-navneet-kaur-general-physician?practice_id=1132658&specialization=General Physician&referrer=doctor_listing&page_uid=8a499ec2-2acb-47ba-9493-154f572d3f55,Dr. Navneet Kaur,General Physician,MBBS,Guru Nanak Dev University,1998,,,,26,Delhi,Greater Kailash Part 1,Hospital,Apollo Spectra Hospital,500,,85.0,20,4,"8/7/2024, 11:43:34 PM",14,,female
