rank,id,doctor_id,practice_id,image_url,profile_url,doctor_name,specialization,qualification,college,completion_year,qualification.1,college.1,completion_year.1,experience_years,practice_city,practice_locality,practice_type,practice_name,consultation_fees,summary,recommendation_percent,patients_count,reviews_count,timestamp,position,Unnamed: 26,gender
1,662420,709917,1237847,https://imagesx.practo.com/providers/dr-s-b-nagori-cardiologist-kolkata-c2a0a893-00f8-4c24-a9e3-199afa3b4e73.jpg,/kolkata/doctor/dr-s-b-nagori-cardiologist?practice_id=1237847&specialization=Cardiologist&referrer=doctor_listing&page_uid=c3d76da3-a556-46fb-8870-f5500d1ae849,Dr. S. B. Nagori,Cardiologist,MD - (Med. & Thera.),"Rajasthan University, Jaipur, India",1976,MBBS,"Rajasthan University, Jaipur, India",1973,51,Kolkata,Sarat Bose Road,Clinic,Aloka Medicare Pvt. Ltd. (Formerly Calcutta Heart ),1500,"Dr. S. B. Nagori is a visiting cardiologist  practicing since last 48 yrs with various achievements, milestones and professional memberships.",93.0,121,76,"8/8/2024, 10:38:32 AM",1,,male
2,705262,796634,1237847,https://imagesx.practo.com/providers/dr-aditya-verma-cardiologist-kolkata-775cb73e-8a85-43e0-a28d-46990cf87806.jpg,/kolkata/doctor/aditya-verma-cardiologist?practice_id=1237847&specialization=Cardiologist&referrer=doctor_listing&page_uid=c3d76da3-a556-46fb-8870-f5500d1ae849,Dr. Aditya Verma,Cardiologist,MBBS,"Maharashtra Universtity of Health Sciences, Nashik",2009,MD - General Medicine,West Bengal University of Health Science,2015,15,Kolkata,Sarat Bose Road,Clinic,Aloka Medicare Pvt. Ltd. (Formerly Calcutta Heart ),1200,"Dr. Aditya Verma is a Cardiologist and Interventional Cardiologist in Sarat Bose Road, Kolkata and has an experience of 13 years in these fields. Dr. Aditya Verma practices at Calcutta Heart Research Centre in 114B, Sarat Bose Road, Kolkata. He completed MBBS from the Prestigious Armed Forces Medical College, Pune in 2010. Then MD - General Medicine from Medical College and Hospital, Kolkata in 2015 and then DM - Cardiology from IPGME&R and SSKM Hospital, Kolkata in 2019. He has presented cases and papers in various National & International Fora. Services provided by the doctor are: Coronary & Peripheral Angiography and Angioplasty, Permanent Pacemaker Implantation, ICD, CRT Implantation, Baloon Valvuloplasty, Transcatheter Aortic Valve Implantation, Structural Heart Defects intervention including ASD, VSD, and PDA device closure. Complex & Special echocardiography like TEE, DSE.",100.0,3,1,"8/8/2024, 10:38:32 AM",2,,male
3,858939,691767,1033173,https://imagesx.practo.com/providers/dr-soumya-kanti-dutta-interventional-cardiologist-kolkata-b3ad01cb-e4e5-4069-a11c-557f7635461c.jpg,/kolkata/doctor/dr-soumya-kanti-dutta-cardiologist-general-physician?practice_id=1033173&specialization=Cardiologist&referrer=doctor_listing&page_uid=c3d76da3-a556-46fb-8870-f5500d1ae849,Dr. Soumya Kanti Dutta,Cardiologist,MBBS,Calcutta University,2008,MD - General Medicine,"Utkal University, Orissa, India",2013,16,Kolkata,Dhakuria,Hospital,Manipal Hospitals,1200,,100.0,2,1,"8/8/2024, 10:38:32 AM",4,,male
4,687617,585028,735842,https://imagesx.practo.com/providers/dr-prof-dr-amal-k-khan-cardiologist-kolkata-79031ecb-fabf-4978-a203-e59c69410b79.jpg,/kolkata/doctor/prof-dr-amal-k-khan-cardiologist?practice_id=735842&specialization=Cardiologist&referrer=doctor_listing&page_uid=c3d76da3-a556-46fb-8870-f5500d1ae849,Dr. Prof. (Dr) Amal K. Khan,Cardiologist,MBBS,"Medical College, Calcutta",1977,MD - Medicine,"University Of Calcuta, India",1981,34,Kolkata,Salt Lake,Hospital,Manipal Hospital Broadway,1500,"Dr. Amal Kumar Khan is a Cardiologist (Heart Specialist) currently attached to the Analogy Superspeciality Wing of the Burdwan Medical College and Hospital. He graduated in 1975 from Calcutta National Medical College and went on to obtain an MD in Medicine from Calcutta University and MNAMS (Med.) from the National Board in 1981. He subsequently completed the DM Cardiology super-specialisation from IPGME&R, Kolkata, in the year 1992.  Dr. Amal Kahn worked as RMO cum Clinical Tutor in the Cardiology Department of SSKM Hospital and as Assistant Professor and Associate Professor at Calcutta National Medical College. He then served as a Professor at IPGME&R & SSKM Hospital. Dr. Khan has also held a position of Head of Department of Cardiology of Calcutta Medical School.  Dr. Khan has to his credit several scientific papers published in reputed journals such as Indian Heart Journal, JAPI, and Indian Medical Journal. He is also Research Guide to MD (Medicine) and DM (Cardiology) students. Dr. Khan is an active member of the Cardiological Society of India and has served on the committee, including as National Secretary from 2005-2008.",67.0,6,6,"8/8/2024, 10:38:32 AM",5,,male
5,686744,575965,1033173,https://imagesx.practo.com/providers/dr-sumanta-chatterjee-interventional-cardiologist-kolkata-1670929c-73a4-4ac4-a1b2-066521454699.jpg,/kolkata/doctor/dr-sumanta-chattarjee-general-physician?practice_id=1033173&specialization=Cardiologist&referrer=doctor_listing&page_uid=c3d76da3-a556-46fb-8870-f5500d1ae849,Dr. Sumanta Chatterjee,Cardiologist,MD - General Medicine,"Medical College, Calcutta",2013,DM - Cardiology,"Medical College, Calcutta",2016,15,Kolkata,Dhakuria,Hospital,Manipal Hospitals,1200,"Dr. Sumanta Chatterjee is a dedicated and hardworking young Interventional Cardiologist in Kolkata. He completed his medical education at Medical College, Kolkata, receiving Gold Medals for his outstanding performance at the MBBS and MD (Medicine) levels, and topping the institution at the DM (Cardiology) superspeciality degree examination. He is performing radial route angiography and angioplasty with special interest in primary angioplasty round the clock in AMRI Hospital, Dhakuria . Dr chatterjee is well versed in FFR OCT and IVUS guided angioplasties, difficult coronary procedures, bifurcation lesions with newer sophisticated gadgets.He is adept in doing pacemaker, ICD,CRT. He has keen interest in treating cardio diabetes segment and preventive cardiology.",98.0,61,41,"8/8/2024, 10:38:32 AM",6,,male
6,674164,733735,1247064,https://imagesx.practo.com/providers/dr-parijat-debchoudhury-interventional-cardiologist-kolkata-a5f5049e-dcab-47ef-8d17-740a7c3736fd.jpg,/kolkata/doctor/parijat-debchoudhury-cardiologist?practice_id=1247064&specialization=Cardiologist&referrer=doctor_listing&page_uid=c3d76da3-a556-46fb-8870-f5500d1ae849,Dr. Parijat Debchoudhury,Cardiologist,MD - General Medicine,"King Georges Medical College, Lucknow University",2009,MBBS,"JIPMER, Pondicherry",2003,21,Kolkata,Mukundapur,Clinic,Medithics,700,"Dr Parijat Deb Choudhury Is A Renowned Intervention Cardiologist In Kolkata Practicing At Amri Hospital, Mukundapur.   She Has Been Practicing Medicine From 2004 Onwards And Has Been Attached To Some Of The Best Hospitals.  She Was A Good Academician And Clinical Research Fellow. After Securing The 2nd Rank In Premedical Entrance Exam She Persuaded MBBSS From Jipmer Pondicherry. Her Bright Educational Career Has A Major Role In Her Becoming A Reputed Heart Doctor In Kolkata.",95.0,59,50,"8/8/2024, 10:38:32 AM",7,,female
7,706469,73898,1033173,https://imagesx.practo.com/providers/dr-prakash-kumar-hazra-cardiologist-kolkata-9db37374-ff31-4cae-9d42-5bbac25d537e.jpg,/kolkata/doctor/dr-prakash-kumar-hazra-pathologist?practice_id=1033173&specialization=Cardiologist&referrer=doctor_listing&page_uid=c3d76da3-a556-46fb-8870-f5500d1ae849,Dr. Prakash Kumar Hazra,Cardiologist,MBBS,Calcutta University,1988,MD - Medicine,"PGIMER, Chandigarh, India",1993,35,Kolkata,Dhakuria,Hospital,Manipal Hospitals,2000,,85.0,20,13,"8/8/2024, 10:38:32 AM",8,,male
8,756005,896998,1033173,https://imagesx.practo.com/providers/dr-supratip-kundu-cardiologist-kolkata-018ffb2b-6596-4ba0-a4aa-f2629187246b.jpg,/kolkata/doctor/supratip-kundu-cardiologist?practice_id=1033173&specialization=Cardiologist&referrer=doctor_listing&page_uid=c3d76da3-a556-46fb-8870-f5500d1ae849,Dr. Supratip Kundu,Cardiologist,MBBS,West Bengal University of Health Scinces,2009,MD - General Medicine,West Bengal University of Health Sciences,2013,15,Kolkata,Dhakuria,Hospital,Manipal Hospitals,1200,,100.0,3,2,"8/8/2024, 10:38:32 AM",10,,male
9,512765,342758,735842,https://imagesx.practo.com/providers/dr-subhasis-roy-chowdhury-cardiologist-kolkata-54e594ad-868d-4dc9-b998-02d85a447e25.jpg,/kolkata/doctor/dr-subhasis-roy-chowdhury-cardiologist?practice_id=735842&specialization=Cardiologist&referrer=doctor_listing&page_uid=c3d76da3-a556-46fb-8870-f5500d1ae849,Dr. Subhasis Roy Chowdhury,Cardiologist,MBBS,"Medical College, Calcutta",2002,MD - General Medicine,"Medical College, Calcutta",2007,22,Kolkata,Salt Lake,Hospital,Manipal Hospital Broadway,1200,"Dr.Subhasis Roy Chowdhury , a graduate of Medical College Kolkata has done his training in interventional cardiology at   IPGMER & SSKM Hospitals . Having practised over 7 years in different government and corporate hospitals, he has a wide range of experience in dealing with all sorts of cardiac problems.",85.0,33,16,"8/8/2024, 10:38:32 AM",11,,male
10,930886,1146563,1465502,https://imagesx.practo.com/providers/dr-arijit-ghosh-cardiologist-kolkata-df1b24c8-a433-4535-80fc-2432cca69aa7.jpg,/kolkata/doctor/apollo-clinic-beliaghata-cardiologist?practice_id=1465502&specialization=Cardiologist&referrer=doctor_listing&page_uid=c3d76da3-a556-46fb-8870-f5500d1ae849,Dr. Arijit Ghosh,Cardiologist,MBBS,B.S.Medical Collage(Bankura),2002,MD - General Medicine,IPGMR & SSKM Kolkata,2007,22,Kolkata,Beliaghata,Clinic,Apollo Clinic,1200,,,0,0,"8/8/2024, 10:38:32 AM",13,,male
