rank,id,doctor_id,practice_id,image_url,profile_url,doctor_name,specialization,qualification,college,completion_year,qualification.1,college.1,completion_year.1,experience_years,practice_city,practice_locality,practice_type,practice_name,consultation_fees,summary,recommendation_percent,patients_count,reviews_count,timestamp,position,Unnamed: 26,gender
1,867036,310969,1427692,https://imagesx.practo.com/providers/dr-k-suma-infertility-specialist-hyderabad-af5f762a-041c-4154-83d5-365e8ce6265c.jpg,/hyderabad/doctor/dr-k-suma-prasad-gynecologic-oncologist?practice_id=1427692&specialization=Gynecologist&referrer=doctor_listing&page_uid=052b03b9-f6fe-44c4-9b2c-653e63dc263a,Dr. K. Suma,Gynecologist,MBBS,"Gandhi Medical College, Hyderabad",1988,DGO,"J.S.S Medical College, Mysore",1992,36,Hyderabad,Pragathi Nagar,Hospital,Prasad Hospital,700,"Dr K Suma Prasad, MD, DGO., Infertility specialist known for her specialized skills in improving IVF success through modern technology. With a strong research background, Dr Suma Prasad has vast experience in handling implantation failure and improving IVF  & ICSI results through advanced techniques. With experience for more than 25years, Dr Suma Prasad is popular in kukatpally as a friendly and a very supportive doctor.  PCOD - Dr Suma Prasad has an experience of 20 years in a scientific analysis and treatment to the PCOD problem, a hormone imbalance affecting young women leading to obesity and menstrual problems.  Patients specially appreciate the short waiting period and quick access to the doctor. Graduated from Gandhi Medical College, Hyderabad, Dr Suma Prasad is a Fetal Medicine Diploma holder from UCL, London and a Diploma in Advance Endoscopic Surgery and Hysteroscopy from Keil’s school of endoscopy, Germany. Dr Suma Prasad has specialized in Intracytoplasmic Sperm Injection (ICSI), Testicular sperm Extraction (TESE) & Preimplantation Genetic Screening (PGS). She has extensive experience in treating male infertility & PCOD. Her research publications are extensive and available on our website.",93.0,288.0,166,"8/7/2024, 6:46:09 PM",2,,female
2,726614,299881,1299140,https://imagesx.practo.com/providers/dr-chandana-lakkireddi-infertility-specialist-hyderabad-3819f39b-60f5-4670-b31a-0e04940d1acb.jpg,/hyderabad/doctor/dr-chandana-lakkireddi-gynecologist-obstetrician?practice_id=1299140&specialization=Gynecologist&referrer=doctor_listing&page_uid=052b03b9-f6fe-44c4-9b2c-653e63dc263a,Dr. Chandana Lakkireddi,Gynecologist,MBBS,"Kurnool Medical College, Kurnool",2001,MD - Obstetrics & Gynaecology,"Osmania Medical College, Hyderabad",2004,23,Hyderabad,Banjara Hills,Clinic,Esha Ivf Fertility Centre,700,"Dr. Chandana Lakkireddi has over 20 years of experience of working in various hospitals like Barnet and Chasefarm, Lewisham, St Georges and Croydon University hospital of United Kingdom.  Dr. Chandana has extensive training in IVF and infertility under Specialists in IVF like Mr. Dimitrios Nikolaou and Mr. Julian Norman-Taylor at Assisted Conception Unit of Chelsea and Westminster Hospital, London. She was also awarded the Certificate in Advanced Reproductive Medicine , Pelvic Ultrasound and Quality Management at United kingdom by British Fertility Society.  Dr Chandana Mainly focusing on Infertility problems now. Not seeing Gynecology and Obstetric patients.  Dr. Chandana is a member of the Royal College of Obstetricians and Gynaecologists and British Fertility Society. She has expertise in handling difficult cases of Repeated IUI failures, Recurrent  IVF failures, recurrent miscarriages,endometriosis, Premature Ovarian failure, Low Ovarian reserve, Resistant PCO, Male Infertility and Genetic Issues in Reproduction. Dr. Chandana also has to her credit several pregnancies in couples who have been undergoing multiple treatments with out any proper diagnosis, as she looks into main issue in both the partners and suggests treatment, which is gives best success to them rather treating everyone with same protocol and she is one of the few doctors in Hyderabad to achieve successful pregnancy through the advanced technique of ERA (Endometrial Receptivity Array )",97.0,235.0,95,"8/7/2024, 6:46:09 PM",3,,female
3,604641,590061,1161710,https://imagesx.practo.com/providers/dr-narmada-katakam-infertility-specialist-hyderabad-8fc4753d-9c6b-4ae9-baaa-d94fab6442a1.jpg,/hyderabad/doctor/dr-r-narmada-katakam-gynecologist-obstetrician?practice_id=1161710&specialization=Gynecologist&referrer=doctor_listing&page_uid=052b03b9-f6fe-44c4-9b2c-653e63dc263a,Dr. Narmada Katakam,Gynecologist,MBBS,Dr. NTR University of Health Sciences Andhra Pradesh,1994,MD - Obstetrics & Gynaecology,Dr. NTR University of Health Sciences Andhra Pradesh,2000,30,Hyderabad,Kothapet,Clinic,Genesis Fertility & Laparoscopy Centre ,1000,Dr. Narmada Katakam working in the UK for 13 years before establishing Genesis Fertility and Laparoscopy Centre in India in 2017. She strongly believes and maintains high-quality standards in clinical practice and infrastructure too.,96.0,181.0,150,"8/7/2024, 6:46:09 PM",5,,female
4,866188,1067492,1196868,https://imagesx.practo.com/providers/dr-j-rajeshwari-gynecologist-hyderabad-0356c489-cf9b-42ec-a2c1-0cdc4f710f2d.jpg,/hyderabad/doctor/dr-j-rajeshwari-gynecologist-obstetrician?practice_id=1196868&specialization=Gynecologist&referrer=doctor_listing&page_uid=052b03b9-f6fe-44c4-9b2c-653e63dc263a,Dr. J.Rajeshwari,Gynecologist,MBBS,"Osmania Medical College, Hyderabad",1985,DGO,Dr. NTR University of Health Sciences Andhra Pradesh,1990,39,Hyderabad,KPHB,Hospital,Padmaja Hospital,400,,100.0,4.0,2,"8/7/2024, 6:46:09 PM",6,,female
5,903314,1114179,1455986,https://imagesx.practo.com/providers/dr-hasini-chittappareddy-gynecologist-obstetrician-hyderabad-8990c2fe-e420-40f2-9949-75485ac8c0b4.jpg,/hyderabad/doctor/dr-hasini-chittappareddy-gynecologist-obstetrician?practice_id=1455986&specialization=Gynecologist&referrer=doctor_listing&page_uid=052b03b9-f6fe-44c4-9b2c-653e63dc263a,Dr. Hasini Chittappareddy,Gynecologist,MBBS,Dr. NTR University of Health Sciences Andhra Pradesh,2008,MS - Obstetrics & Gynaecology,"Kurnool Medical College, Kurnool",2015,15,Hyderabad,Medchal,Clinic,Novacare Hospitals,400,,,0.0,0,"8/7/2024, 6:46:09 PM",8,,
6,901648,356072,1267476,https://imagesx.practo.com/providers/dr-padmavati-kapila-gynecologist-hyderabad-93e65ffc-7dfa-4be3-affd-b50214d84434.jpg,/hyderabad/doctor/dr-padmavati-kapila-gynecologist-obstetrician?practice_id=1267476&specialization=Gynecologist&referrer=doctor_listing&page_uid=052b03b9-f6fe-44c4-9b2c-653e63dc263a,Dr. Padmavati Kapila,Gynecologist,MBBS,"Gandhi Medical College, Hyderabad",1994,DNB - Obstetrics & Gynecology,"National Board of Examination, India",2013,30,Hyderabad,Langar Houz,Clinic,"Renova Hospital, Langar House",500,,100.0,7.0,4,"8/7/2024, 6:46:09 PM",9,,female
7,816093,991448,1360867,https://imagesx.practo.com/providers/dr-jasti-madhavi-gynecologist-hyderabad-ed7c5a00-d204-4c0e-a796-879e262e532b.jpg,/hyderabad/doctor/dr-jasti-madhavi-gynecologist-obstetrician?practice_id=1360867&specialization=Gynecologist&referrer=doctor_listing&page_uid=052b03b9-f6fe-44c4-9b2c-653e63dc263a,Dr. Jasti Madhavi,Gynecologist,MBBS,Andhra University,1990,MRCOG(UK),"Royal College of Obstetricians and Gynaecologists, London",1996,33,Hyderabad,Chanda Nagar,Hospital,Medicover Hospitals,700,,,0.0,0,"8/7/2024, 6:46:09 PM",10,,female
8,901612,1112227,662073,https://imagesx.practo.com/providers/dr-soumya-madarapu-gynecologist-hyderabad-84b28d75-c15f-48fc-b2ac-28b3a7ef32a8.jpg,/hyderabad/doctor/dr-soumya-madarapu-gynecologist-obstetrician?practice_id=662073&specialization=Gynecologist&referrer=doctor_listing&page_uid=052b03b9-f6fe-44c4-9b2c-653e63dc263a,Dr. Soumya Madarapu,Gynecologist,MBBS,Dr. NTR University of Health Sciences Andhra Pradesh,2007,MS - Obstetrics & Gynaecology,Dr. NTR University of Health Sciences Andhra Pradesh,2016,17,Hyderabad,Dilsukhnagar,Hospital,Sreshta Sri Kamala Hospitals,500,,,0.0,0,"8/7/2024, 6:46:09 PM",12,,female
9,816420,769466,1349482,https://imagesx.practo.com/providers/dr-sreelatha-jella-gynecologist-hyderabad-38bb2819-6905-4c56-b8df-eb5a4ff39f04.jpg,/hyderabad/doctor/dr-j-sreelatha-general-physician?practice_id=1349482&specialization=Gynecologist&referrer=doctor_listing&page_uid=052b03b9-f6fe-44c4-9b2c-653e63dc263a,Dr. Sreelatha Jella,Gynecologist,MBBS,Dr. NTR University of Health Sciences Andhra Pradesh,2006,DGO,Dr. NTR University of Health Sciences Andhra Pradesh,2017,17,Hyderabad,Madinaguda,Hospital,PRK Hospitals,700,,,0.0,0,"8/7/2024, 6:46:09 PM",13,,
10,878576,663644,1437758,https://imagesx.practo.com/providers/dr-g-keertana-reddy-gynecologist-hyderabad-ae0f8760-469d-40df-bb08-79d97779f5bd.jpg,/hyderabad/doctor/dr-g-keertana-reddy-gynecologist-obstetrician?practice_id=1437758&specialization=Gynecologist&referrer=doctor_listing&page_uid=052b03b9-f6fe-44c4-9b2c-653e63dc263a,Dr. G Keertana Reddy,Gynecologist,MBBS,Dr. NTR University of Health Sciences Andhra Pradesh,2009,MS - Obstetrics & Gynaecology,Dr. NTR University of Health Sciences Andhra Pradesh,2014,15,Hyderabad,Srinagar Colony,Hospital,Green Med Hospital,500,"Dr. Keertana Reddy holds a fellowship in Infertility from Indian Medical Association (IMA) and Diploma in Aesthetic & Functional Gynecology from IAVA Mumbai. She has done fellowship in Laparoscopy from eminent Doctors across India.  She was associated with all prominent hospitals in the city. Experienced in practicing high risk obstetrics at Government Tertiary care centers. Performed more than 1,000 deliveries and numerous laparoscopic hysterectomies & surgeries. ",100.0,89.0,47,"8/7/2024, 6:46:09 PM",15,,female
