rank,id,doctor_id,practice_id,image_url,profile_url,doctor_name,specialization,qualification,college,completion_year,qualification.1,college.1,completion_year.1,experience_years,practice_city,practice_locality,practice_type,practice_name,consultation_fees,summary,recommendation_percent,patients_count,reviews_count,timestamp,position,Unnamed: 26,gender
1,929720,549058,1153960,https://imagesx.practo.com/providers/dr-prof-guru-prasad-sogunuru-cardiologist-chennai-a1f854c6-0dba-4fb6-a106-3a13d620ffad.jpg,/chennai/doctor/drguru73-yahoo-com-cardiologist?practice_id=1153960&specialization=Cardiologist&referrer=doctor_listing&page_uid=744d0571-78cb-44c2-bee4-bfaf27d14b6c,Dr. Prof Guru Prasad Sogunuru,Cardiologist,MBBS,"Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",1996,MD - General Medicine,"Kurnool Medical College, Kurnool",2001,28,Chennai,Perumbakkam,Hospital,Gleneagles Health City,1200,,89.0,37,31,"8/8/2024, 10:38:32 AM",2,,male
2,929713,185671,1153960,https://imagesx.practo.com/providers/dr-govini-balasubramanian-cardiothoracic-surgeon-chennai-a70dfdaa-6ce9-4662-98d0-fcd46a5f6cdb.jpg,/chennai/doctor/dr-govini-balasubramanian-cardiologist?practice_id=1153960&specialization=Cardiologist&referrer=doctor_listing&page_uid=744d0571-78cb-44c2-bee4-bfaf27d14b6c,Dr. Govini Balasubramanian,Cardiologist,MS - General Surgery,Rajiv Gandhi University of Health Sciences,2001,MBBS,Bangalore University,1994,23,Chennai,Perumbakkam,Hospital,Gleneagles Health City,1000,"Dr. Govini is an accomplished Cardiothoracic and Heart & Lung Transplant surgeon and specializes in caring for the patient with all aetiologies of heart failure, chronic asthma, a chronic lung disease that needs surgical management.Dr. Govini’s has trained underworld class transplant surgeons in Hong Kong, Austria, Germany and South Korea. Dr. Govini is one of the pioneer surgeons in establishing Lung Transplant, Heart & Lung Transplant program in India performing transplant surgeries in patients ranging from 17 years to 74  years. He specializes in LiveLung Transplant i.e. incorporating different lobes from two different donors – typically performed on pediatric patients. Dr. Govini is also proficient in VATS (Video-assisted Thoracic Surgery) and MICS (Minimally Invasive Cardiac Surgery) for various heart & lung diseases amongst others. Although Dr. Govini is fluent in his mother tongue Telugu, he is also proficient in Tamil, Kannada, Hindi and of course English.  Highlights:   - Over 7000 open and closed heart surgeries in adults and children  - 350 Heart & Lung Transplants  - Leading Live Lung Transplant Surgeon in India  - Beating Heart Coronary Artery Bypass Graft (OP-CABG)  - Laser Lung Surgery ",100.0,3,2,"8/8/2024, 10:38:32 AM",3,,male
3,672791,729482,1153960,https://imagesx.practo.com/providers/dr-gobu-cardiologist-chennai-ebe004e5-fb1d-440c-b950-ffbdc70dea7c.jpg,/chennai/doctor/gobu-cardiologist?practice_id=1153960&specialization=Cardiologist&referrer=doctor_listing&page_uid=744d0571-78cb-44c2-bee4-bfaf27d14b6c,Dr. Gobu,Cardiologist,MBBS,Pondicherry University,2000,MD - General Medicine,Pondicherry University,2005,24,Chennai,Perumbakkam,Hospital,Gleneagles Health City,800,"Dr. Gobu is a Cardiologist and Interventional Cardiologist in Perumbakkam, Chennai and has an experience of 20 years in these fields. Dr. Gobu practices at Gleneagles Global Health City in Perumbakkam, Chennai. He completed MBBS from Pondicherry University in 2000,MD - General Medicine from Pondicherry University in 2005 and DM - Cardiology from Pondicherry University in 2008.  He is a member of Cardiological Society of India (CSI) and Tamilnadu Medical Council. Some of the services provided by the doctor are: Patent Foramen Ovale,Implantable Cardioverter-Defibrillators (Icds),Pacemaker Implantation,Peripheral Angioplasty and Treadmill Test - TMT",100.0,5,5,"8/8/2024, 10:38:32 AM",5,,male
4,672788,729478,1153960,https://imagesx.practo.com/providers/dr-karthick-anjaneyan-cardiologist-chennai-5a35e624-ea68-4a35-afc9-fdf4090590eb.jpg,/chennai/doctor/karthich-ajaneyan-cardiologist?practice_id=1153960&specialization=Cardiologist&referrer=doctor_listing&page_uid=744d0571-78cb-44c2-bee4-bfaf27d14b6c,Dr. Karthick Anjaneyan,Cardiologist,MBBS,"Sri Ramachandra Medical College, Chennai",2004,MD - General Medicine,"Sri Ramachandra Medical College, Chennai",2008,20,Chennai,Perumbakkam,Hospital,Gleneagles Health City,800,"Dr. Karthick Anjaneyan is a Cardiologist in Perumbakkam, Chennai and has an experience of 16 years in this field. Dr. Karthick Anjaneyan practices at Gleneagles Global Health City in Perumbakkam, Chennai. He completed MBBS from Sri Ramachandra Medical College, Chennai in 2004,MD - General Medicine from Sri Ramachandra Medical College, Chennai in 2008 and DM - Cardiology from Sri Ramachandra Medical College, Chennai in 2015.  ",100.0,4,4,"8/8/2024, 10:38:32 AM",6,,male
5,734728,466933,1255075,https://imagesx.practo.com/providers/dr-b-madan-mohan-interventional-cardiologist-chennai-5adfc397-3706-44f5-af52-3a5a619a3922.jpg,/chennai/doctor/dr-b-madan-mohan-cardiologist-1?practice_id=1255075&specialization=Cardiologist&referrer=doctor_listing&page_uid=744d0571-78cb-44c2-bee4-bfaf27d14b6c,Dr. B. Madan Mohan,Cardiologist,MBBS,"Sri Ramachandra University, Chennai",1993,MD - General Medicine,The Tamil Nadu Dr. M.G.R. Medical University (TNMGRMU),1999,31,Chennai,Anna Nagar,Hospital,MGM Healthcare,1000,,94.0,395,45,"8/8/2024, 10:38:32 AM",7,,male
6,745186,97130,1255075,https://imagesx.practo.com/providers/dr-a-l-narayanan-cardiologist-chennai-022793ce-7112-4a5b-b113-c1e80fb3f981.jpg,/chennai/doctor/dr-a-l-narayanan-cardiologist-97130?practice_id=1255075&specialization=Cardiologist&referrer=doctor_listing&page_uid=744d0571-78cb-44c2-bee4-bfaf27d14b6c,Dr. A.L. Narayanan,Cardiologist,MD - General Medicine,Madras University,1980,DM - Cardiology,Madras University,1982,48,Chennai,Anna Nagar,Hospital,MGM Healthcare,1000,"Dr. A L Narayanan is a Senior Interventional Cardiologist based in Chennai. He obtained his medical degrees - MBBS, MD (General Medicine) and DM (Cardiology) - through Madras University, bagging two Gold Medals during his undergraduate studies. Subsequent to completing the DM super-speciality exam, Dr. Narayanan has had his Cardiology practice for over 30 years. He also has 12 years of teaching experience in Madras Medical College, Chennai, and 10 years of experience teaching DNB (Cardiology) students at Vijaya Hospital in Chennai.",100.0,13,6,"8/8/2024, 10:38:32 AM",8,,male
7,60377,129514,706234,https://imagesx.practo.com/providers/dr-b-ramamurthy-cardiologist-chennai-c10abc4e-100b-4002-a1d6-dd04d36a2e18.jpg,/chennai/doctor/dr-ramamurthy-cardiologist?practice_id=706234&specialization=Cardiologist&referrer=doctor_listing&page_uid=744d0571-78cb-44c2-bee4-bfaf27d14b6c,Dr. B Ramamurthy,Cardiologist,MBBS,"Madras Medical College, Chennai",1977,MD - General Medicine,"Madras Medical College, Chennai",1980,38,Chennai,Shenoy Nagar,Hospital,Billroth Hospitals,450,,100.0,1,1,"8/8/2024, 10:38:32 AM",9,,male
8,930486,382620,706234,https://imagesx.practo.com/providers/dr-vinodh-kumar-p-cardiologist-chennai-0e0df55c-b20c-4c6d-89ab-5a6c020443de.jpg,/chennai/doctor/vinodh-kumar-p-cardiologist?practice_id=706234&specialization=Cardiologist&referrer=doctor_listing&page_uid=744d0571-78cb-44c2-bee4-bfaf27d14b6c,Dr. Vinodh Kumar P,Cardiologist,MBBS,"Madras Medical College, Chennai",2003,MD - General Medicine,"Madras Medical College, Chennai",2007,19,Chennai,Shenoy Nagar,Hospital,Billroth Hospitals,450,,93.0,14,4,"8/8/2024, 10:38:32 AM",11,,male
9,745088,899938,1255075,https://imagesx.practo.com/providers/dr-srichandran-l-cardiologist-chennai-b4f8ccc2-25d1-4e8a-8a89-0fed78021174.jpg,/chennai/doctor/dr-srichandran-l-cardiologist?practice_id=1255075&specialization=Cardiologist&referrer=doctor_listing&page_uid=744d0571-78cb-44c2-bee4-bfaf27d14b6c,Dr. Srichandran L,Cardiologist,MBBS,"Sri Ramachandra Medical College, Chennai",2003,MD - General Medicine,"Sri Ramachandra Medical College, Chennai",2007,21,Chennai,Anna Nagar,Hospital,MGM Healthcare,750,,100.0,2,1,"8/8/2024, 10:38:32 AM",12,,male
10,745110,989612,1255075,https://imagesx.practo.com/providers/dr-vivekan-m-cardiologist-chennai-7f99180d-024b-406e-a494-13cf46168f9a.jpg,/chennai/doctor/vivekan-m-cardiologist?practice_id=1255075&specialization=Cardiologist&referrer=doctor_listing&page_uid=744d0571-78cb-44c2-bee4-bfaf27d14b6c,Dr. Vivekan M,Cardiologist,MBBS,University of Tamil nadu,2008,DNB - General Medicine,National Board Of Examination,2013,16,Chennai,Anna Nagar,Hospital,MGM Healthcare,800,,,0,0,"8/8/2024, 10:38:32 AM",14,,male
